	coach	race	mu	phi	value
107722	Heretek	Halflings	1319.843	171.362	891.4380000000001
126667	Bezu_Menez	Chaos	1460.129	227.481	891.4264999999999
55519	RedtheDreadedLion	Dwarves	1350.437	183.614	891.4019999999998
157207	datom	Khemri	1296.064	161.884	891.354
216976	Lord_Asmodai	Underworld	1362.779	188.599	891.2815
121043	tosty	Chaos	1207.278	126.402	891.273
56180	WilburSpoons	Dwarves	1366.38	190.058	891.2350000000001
124318	Lunatiko	Chaos	1253.674	144.977	891.2315
14803	Bulldog	Humans	1252.077	144.346	891.212
191065	Pdarby	Slann	1332.395	176.479	891.1975
117840	josito_only	Amazons	1375.312	193.652	891.1819999999999
161152	bistouf	Khemri	1260.537	147.77	891.1120000000001
63472	StumpyCricket	Dwarves	1500.0	243.636	890.91
17756	Krazi_B	Humans	1324.06	173.263	890.9024999999999
81975	figpas	Dark Elves	1294.631	161.504	890.8710000000001
148079	BigBelcher	Elves	1368.726	191.154	890.8410000000001
13107	tarugo	Humans	1426.715	214.35	890.8399999999999
96526	Zakspeed	High Elves	1383.84	197.206	890.8249999999999
86520	Cardif	Dark Elves	1248.094	142.92	890.7940000000001
126506	Zoror	Chaos	1272.318	152.622	890.7629999999999
51987	TheLV14	Skaven	1381.441	196.308	890.671
71882	Chunky	Chaos Dwarves	1434.679	217.606	890.6640000000001
78826	1st_lady	Lizardmen	1303.055	164.974	890.6200000000001
22862	clidston	Undead	1388.67	199.245	890.5575000000001
15301	Twelfman	Humans	1354.084	185.436	890.494
52337	2keus	Skaven	1410.113	207.864	890.4530000000001
61178	HornedDwarf	Dwarves	1310.633	168.072	890.453
51507	ttthomas	Skaven	1630.239	295.937	890.3965000000001
38436	DEROLEMAN	Norse	1269.693	151.75	890.318
78798	tycho00	Lizardmen	1300.123	163.929	890.3005
5851	cam	Wood Elves	1230.956	136.269	890.2834999999999
123112	Ninjaska	Chaos	1406.941	206.691	890.2135000000001
72567	Carpenter	Chaos Dwarves	1378.718	195.405	890.2055
